Time,Red_light,IR_light,SpO2,SpO2Valid,,,,,,,,,50 point average,,
1744341599,18,36,38,1,,,80.41176471,,,,,,80.41176471,,
1744341599,30,36,38,1,,,81.45098039,,,,,,81.45098039,,
1744341599,28,30,38,1,,,82.49019608,,,,,,82.49019608,,
1744341599,33,32,38,1,,,83.52941176,,,,,,83.52941176,,
1744341599,34,34,38,1,,,84.56862745,,,,,,84.56862745,,
1744341599,31,32,80,1,,,85.60784314,,,,,,85.60784314,,
1744341599,33,34,80,1,,,85.82352941,,,,,,85.82352941,,
1744341599,28,36,80,1,,,86.03921569,,,,,,86.03921569,,
1744341599,23,40,80,1,,,86.25490196,,,,,,86.25490196,,
1744341599,25,39,80,1,,,86.47058824,,,,,,86.47058824,,
1744341600,34,37,80,1,,,86.68627451,,,,,,86.68627451,,
1744341600,32,26,80,1,,,86.90196078,,,,,,86.90196078,,
1744341600,32,31,80,1,,,87.11764706,,,,,,87.11764706,,
1744341600,31,33,80,1,,,87.33333333,,,,,,87.33333333,,
1744341600,30,30,80,1,,,87.54901961,,,,,,87.54901961,,
1744341600,20,34,80,1,,,87.76470588,,,,,,87.76470588,,
1744341600,23,37,80,1,,,87.98039216,,,,,,87.98039216,,
1744341600,28,28,80,1,,,88.19607843,,,,,,88.19607843,,
1744341600,26,26,80,1,,,88.41176471,,,,,,88.41176471,,
1744341600,30,28,80,1,,,88.62745098,,,,,,88.62745098,,
1744341601,28,34,80,1,,,88.84313725,,,,,,88.84313725,,
1744341601,28,33,80,1,,,89.05882353,,,,,,89.05882353,,
1744341601,28,40,80,1,,,89.2745098,,,,,,89.2745098,,
1744341601,2711,34,80,1,,,89.49019608,,,,,,89.49019608,,
1744341601,1251,38,80,1,,,89.70588235,,,,,,89.70588235,,
1744341601,1251,38,80,1,,,89.92156863,,,,,,89.92156863,,
1744341601,1251,38,80,1,,,90.1372549,,,,,,90.1372549,,
1744341601,511,158,80,1,,,90.35294118,,,,,,90.35294118,,
1744341601,977,2449,80,1,,,90.56862745,,,,,,90.56862745,,
1744341601,123,843,80,1,,,90.78431373,,,,,,90.78431373,,
1744341602,30,843,91,1,,,90.76470588,,,,,,90.76470588,,
1744341602,36,843,91,1,,,90.52941176,,,,,,90.52941176,,
1744341602,32,456,91,1,,,90.29411765,,,,,,90.29411765,,
1744341602,25,646,91,1,,,90.05882353,,,,,,90.05882353,,
1744341602,28,120,91,1,,,89.82352941,,,,,,89.82352941,,
1744341602,27,36,91,1,,,89.58823529,,,,,,89.58823529,,
1744341602,23,35,91,1,,,89.35294118,,,,,,89.35294118,,
1744341602,20,37,91,1,,,89.11764706,,,,,,89.11764706,,
1744341602,23,30,91,1,,,88.88235294,,,,,,88.88235294,,
1744341602,40,25,91,1,,,88.64705882,,,,,,88.64705882,,
1744341603,32,31,91,1,,,88.41176471,,,,,,88.41176471,,
1744341603,31,33,91,1,,,88.17647059,,,,,,88.17647059,,
1744341603,36,32,91,1,,,87.94117647,,,,,,87.94117647,,
1744341603,28,35,91,1,,,87.70588235,,,,,,87.70588235,,
1744341603,28,39,91,1,,,87.47058824,,,,,,87.47058824,,
1744341603,28,38,91,1,,,87.23529412,,,,,,87.23529412,,
1744341603,33,27,91,1,,,87,,,,,,87,,
1744341603,31,37,91,1,,,86.76470588,,,,,,86.76470588,,
1744341603,25,31,91,1,,,86.52941176,,,,,,86.52941176,,
1744341603,26,38,91,1,,,86.29411765,,,,,,86.29411765,,
1744341604,26,31,91,1,,,86.05882353,,,,,,86.05882353,,
1744341604,29,38,91,1,,,85.82352941,,,,,,85.82352941,,
1744341604,26,38,91,1,,,85.58823529,,,,,,85.58823529,,
1744341604,33,31,91,1,,,85.35294118,,,,,,85.35294118,,
1744341604,27,31,91,1,,,85.11764706,,,,,,85.11764706,,
1744341604,26,38,91,1,,,85.17647059,,,,,,85.17647059,,
1744341604,31,31,91,1,,,85.23529412,,,,,,85.23529412,,
